Characteristic,Year,Demographic Category,Demographic Group,Overall Sample Size,Overall Population Size,Sample Cases with Characteristic,Estimated Population with Characteristic,Percentage with Characteristic,Lower Confidence Level,Upper Confidence Level
Has Health Care Coverage,2011,TOTAL,TOTAL,"7,692","14,906,190","6,821","12,713,048",85.30,84,86.5
Has Health Care Coverage,2011,NYC/ROS,Rest of State (NYS excluding NYC),"4,131","8,499,553","3,736","7,408,827",87.20,85.5,88.9
Has Health Care Coverage,2011,NYC/ROS,New York City,"3,561","6,406,638","3,085","5,304,221",82.80,81,84.6
Has Health Care Coverage,2011,Sex,Female,"4,595","7,770,071","4,166","6,900,742",88.80,87.5,90.2
Has Health Care Coverage,2011,Race/Ethnicity,Black/Non-Hispanic,953,"2,012,405",817,"1,696,352",84.30,81.1,87.5
Has Health Care Coverage,2011,Race/Ethnicity,Hispanic,974,"2,262,950",715,"1,548,843",68.40,64.3,72.6
Has Health Care Coverage,2011,Age Group,45-64,"2,858","5,056,059","2,545","4,448,486",88.00,86.3,89.7
Has Health Care Coverage,2011,Age Group,65+,"2,118","2,672,402","2,065","2,591,026",97.00,95.9,98
Has Health Care Coverage,2011,Education Level,Less than H.S.,689,"2,297,907",518,"1,670,867",72.70,68.5,76.9
Has Health Care Coverage,2011,Education Level,H.S. or GED,"1,859","4,142,029","1,602","3,421,103",82.60,79.9,85.3
Has Health Care Coverage,2011,Education Level,College Graduate,"3,268","4,445,428","3,035","4,120,547",92.70,91.6,93.8
Has Health Care Coverage,2011,Income Range,"Less than $25,000","2,035","4,139,838","1,604","3,053,627",73.80,70.8,76.7
Has Health Care Coverage,2011,Income Range,"$25,000 - 49,999","1,554","2,864,850","1,380","2,458,579",85.80,83.3,88.3
Has Health Care Coverage,2011,Income Range,"$50,000 - 74,999",970,"1,786,720",915,"1,647,919",92.20,89.5,95
Has Health Care Coverage,2011,Employment Status,Not in Labor Force,"3,143","5,426,333","2,951","4,973,276",91.70,90,93.3
Has Health Care Coverage,2011,Mental Health Status,Poor Mental Health,847,"1,679,332",731,"1,440,094",85.80,82.7,88.8
Has Health Care Coverage,2011,Mental Health Status,Good Mental Health,"6,617","12,753,710","5,904","10,918,864",85.60,84.3,87
Does Not Have Health Care Coverage,2011,TOTAL,TOTAL,"7,692","14,906,190",871,"2,193,142",14.70,13.5,16
Does Not Have Health Care Coverage,2011,NYC/ROS,Rest of State (NYS excluding NYC),"4,131","8,499,553",395,"1,090,726",12.80,11.1,14.5
Does Not Have Health Care Coverage,2011,NYC/ROS,New York City,"3,561","6,406,638",476,"1,102,417",17.20,15.4,19
Does Not Have Health Care Coverage,2011,Race/Ethnicity,White/Non-Hispanic,"5,137","8,904,104",367,"836,425",9.40,8.1,10.7
Does Not Have Health Care Coverage,2011,Race/Ethnicity,Black/Non-Hispanic,953,"2,012,405",136,"316,053",15.70,12.5,18.9
Does Not Have Health Care Coverage,2011,Race/Ethnicity,Hispanic,974,"2,262,950",259,"714,107",31.60,27.4,35.7
Does Not Have Health Care Coverage,2011,Age Group,45-64,"2,858","5,056,059",313,"607,573",12.00,10.3,13.7
Does Not Have Health Care Coverage,2011,Age Group,65+,"2,118","2,672,402",53,"81,376",3.00,2,4.1
Does Not Have Health Care Coverage,2011,Education Level,Less than H.S.,689,"2,297,907",171,"627,040",27.30,23.1,31.5
Does Not Have Health Care Coverage,2011,Education Level,H.S. or GED,"1,859","4,142,029",257,"720,926",17.40,14.7,20.1
Does Not Have Health Care Coverage,2011,Education Level,Some Post H.S.,"1,830","3,932,783",200,"494,215",12.60,10.3,14.9
Does Not Have Health Care Coverage,2011,Education Level,College Graduate,"3,268","4,445,428",233,"324,880",7.30,6.2,8.4
Does Not Have Health Care Coverage,2011,Income Range,"Less than $25,000","2,035","4,139,838",431,"1,086,211",26.20,23.3,29.2
Does Not Have Health Care Coverage,2011,Income Range,"$25,000 - 49,999","1,554","2,864,850",174,"406,271",14.20,11.7,16.7
Does Not Have Health Care Coverage,2011,Income Range,"$50,000 - 74,999",970,"1,786,720",55,"138,801",7.80,5,10.5
Does Not Have Health Care Coverage,2011,Income Range,"More than $75,000","2,030","3,904,135",67,"197,544",5.10,3.4,6.8
Does Not Have Health Care Coverage,2011,Employment Status,Employed/Self-Employed,"3,895","7,917,252",498,"1,316,524",16.60,14.9,18.4
Does Not Have Health Care Coverage,2011,Employment Status,Unemployed,592,"1,446,340",171,"399,467",27.60,22.5,32.7
Does Not Have Health Care Coverage,2011,Employment Status,Not in Labor Force,"3,143","5,426,333",192,"453,057",8.30,6.7,10
Does Not Have Health Care Coverage,2011,Mental Health Status,Poor Mental Health,847,"1,679,332",116,"239,238",14.20,11.2,17.3
Has Health Care Coverage,2012,TOTAL,TOTAL,"6,041","15,191,490","5,370","12,864,104",84.70,83.2,86.2
Has Health Care Coverage,2012,NYC/ROS,Rest of State (NYS excluding NYC),"4,407","8,698,259","4,016","7,646,646",87.90,86.4,89.4
Has Health Care Coverage,2012,NYC/ROS,New York City,"1,634","6,493,231","1,354","5,217,458",80.40,77.6,83.1
Has Health Care Coverage,2012,Sex,Female,"3,596","7,983,516","3,260","6,962,536",87.20,85.4,89
Has Health Care Coverage,2012,Race/Ethnicity,Black/Non-Hispanic,524,"2,084,419",442,"1,736,819",83.30,78.8,87.8
Has Health Care Coverage,2012,Race/Ethnicity,Other Race or Multiracial/Non-Hispanic,351,"1,476,733",299,"1,267,219",85.80,80.7,91
Has Health Care Coverage,2012,Age Group,18-24,421,"1,896,979",322,"1,416,276",74.70,69.3,80
Has Health Care Coverage,2012,Age Group,45-64,"2,258","5,109,026","2,009","4,460,267",87.30,85.2,89.4
